file,species
003402ea0,Small-flowered Cranesbill
00442de98,Loose Silky-bent
0268ecbe2,Small-flowered Cranesbill
028329f45,Small-flowered Cranesbill
03100eb7e,Fat Hen
0419f5bbc,Maize
04559c69c,Scentless Mayweed
05675900a,Common Chickweed
0593874ae,Common Chickweed
05ea7f987,Shepherds Purse
060f69cd9,Shepherds Purse
0756fd41e,Cleavers
080cea66f,Black-grass
082314602,Loose Silky-bent
0838d0a77,Sugar beet
083a8c7d2,Cleavers
084d21b80,Common Chickweed
0865fb4d3,Black-grass
0907487ed,Common Chickweed
0975602f4,Black-grass
100ef76fb,Fat Hen
1012b652c,Fat Hen
107bd7230,Sugar beet
108bf8703,Common wheat
109e25d2a,Fat Hen
10c34a660,Scentless Mayweed
10c61689b,Scentless Mayweed
10fc19a04,Shepherds Purse
115808876,Maize
11760cf9f,Cleavers
1188ef167,Small-flowered Cranesbill
11e40532a,Fat Hen
1266ac5cb,Fat Hen
1266e39c7,Black-grass
1347ac5ac,Sugar beet
134db7c0e,Fat Hen
136134853,Common wheat
13726d79d,Small-flowered Cranesbill
143e09ce6,Fat Hen
14719a83e,Loose Silky-bent
1476d787e,Small-flowered Cranesbill
149dbba5f,Fat Hen
149f18d8c,Small-flowered Cranesbill
152cc15e0,Scentless Mayweed
15a668fa4,Scentless Mayweed
163de1bde,Common Chickweed
163ffa4d7,Scentless Mayweed
1656d2df4,Loose Silky-bent
167cf0978,Small-flowered Cranesbill
178b92275,Loose Silky-bent
17bf55e51,Shepherds Purse
1804ef033,Loose Silky-bent
180a7bc07,Loose Silky-bent
1816ac2d6,Small-flowered Cranesbill
181fb1703,Loose Silky-bent
1835ba646,Sugar beet
184f64b26,Fat Hen
186660f3e,Common Chickweed
188dcbe7b,Small-flowered Cranesbill
1898398b8,Maize
18dbd6d8c,Scentless Mayweed
190b948d5,Fat Hen
192bf26cb,Scentless Mayweed
193f4c946,Fat Hen
198f88ef2,Shepherds Purse
19fb8b2cc,Shepherds Purse
200457edd,Black-grass
207d4e9ce,Fat Hen
20964b9b7,Cleavers
21114a782,Scentless Mayweed
211c3f24f,Fat Hen
217b3e661,Loose Silky-bent
217c20421,Black-grass
22429fb19,Small-flowered Cranesbill
22893299b,Common wheat
22d4656ff,Fat Hen
22e662983,Scentless Mayweed
23125a26e,Small-flowered Cranesbill
23686333f,Common Chickweed
237bcb5cb,Charlock
2412cb19b,Fat Hen
24e93bc82,Scentless Mayweed
2509e5bc5,Fat Hen
252585ad8,Cleavers
2559137f2,Fat Hen
25c87a3cc,Maize
26103af9c,Black-grass
2719ff172,Fat Hen
273fdc7f5,Small-flowered Cranesbill
2760cb984,Fat Hen
280af96c0,Loose Silky-bent
281f52467,Loose Silky-bent
28277f807,Shepherds Purse
28e427bed,Charlock
295ddd0b8,Fat Hen
2982d5c21,Sugar beet
298d541a6,Black-grass
299190b08,Cleavers
29926ea63,Small-flowered Cranesbill
299fcd56d,Black-grass
29b4e98c4,Scentless Mayweed
301114e3e,Common Chickweed
302a3a8ba,Scentless Mayweed
302f8959d,Fat Hen
303835197,Common Chickweed
3041d1470,Fat Hen
310656b36,Common Chickweed
31958c132,Loose Silky-bent
31bfdd75e,Black-grass
3217c1887,Sugar beet
322d8de2d,Loose Silky-bent
3232000bf,Cleavers
326c83b87,Fat Hen
32bcfcf02,Scentless Mayweed
33ea3207a,Shepherds Purse
3459d1d3f,Loose Silky-bent
34651cf34,Sugar beet
34c035273,Maize
3516267fc,Cleavers
364a60044,Cleavers
370af1cdd,Fat Hen
3767ec44e,Sugar beet
38cc62ed1,Small-flowered Cranesbill
3f408c295,Shepherds Purse
4075e8be5,Loose Silky-bent
40eea04f4,Scentless Mayweed
413a7e4be,Black-grass
41c73ed49,Common Chickweed
41da62977,Cleavers
4204cd689,Sugar beet
42098546c,Common wheat
4239dbbcd,Loose Silky-bent
424cd33c0,Black-grass
42646d53e,Common wheat
42de1a9d5,Shepherds Purse
4301f9c21,Cleavers
430dac673,Loose Silky-bent
433e4a3ff,Loose Silky-bent
436e5809f,Small-flowered Cranesbill
4444af894,Cleavers
4449f17c5,Cleavers
4481bff7c,Loose Silky-bent
44e7a9365,Shepherds Purse
4507d5e15,Small-flowered Cranesbill
455546801,Black-grass
45d74776a,Common Chickweed
4609dd9e5,Loose Silky-bent
460ac5645,Small-flowered Cranesbill
4613b263e,Cleavers
464dc6968,Small-flowered Cranesbill
464e4863b,Small-flowered Cranesbill
4656b881d,Small-flowered Cranesbill
465bff6eb,Small-flowered Cranesbill
46c449cdf,Shepherds Purse
4729baa43,Shepherds Purse
4731cb066,Small-flowered Cranesbill
47ca1a63c,Shepherds Purse
48011ba03,Sugar beet
4825503ed,Common Chickweed
482a936fc,Loose Silky-bent
4839e4577,Sugar beet
491286e9c,Cleavers
49a407787,Scentless Mayweed
5010487f2,Charlock
501d5f235,Black-grass
5089de64b,Common wheat
50ef0e765,Shepherds Purse
510f3ba19,Fat Hen
5121d936d,Fat Hen
5178de55d,Small-flowered Cranesbill
5251d7bbf,Maize
525ba66d4,Small-flowered Cranesbill
528ef22fe,Fat Hen
52e1bd10e,Shepherds Purse
52f0b365d,Shepherds Purse
5363a9f84,Maize
5374f4b77,Sugar beet
549a41c42,Loose Silky-bent
54f414890,Shepherds Purse
559dae100,Loose Silky-bent
55fef4910,Small-flowered Cranesbill
56426cc09,Sugar beet
565d13821,Fat Hen
5713630ed,Common Chickweed
57d839cf9,Black-grass
57df08978,Loose Silky-bent
57fe6d08a,Shepherds Purse
581c0ecb3,Cleavers
58b8aa1f3,Black-grass
58d70ef74,Common wheat
58e87687a,Loose Silky-bent
591daf862,Cleavers
595d95e1f,Common wheat
59cb79559,Shepherds Purse
5bdfa3a44,Fat Hen
5f1fd3c70,Fat Hen
60884bb5f,Sugar beet
60ee96ab9,Shepherds Purse
611b0a0ef,Small-flowered Cranesbill
614b0792a,Fat Hen
6182bd48c,Loose Silky-bent
61a79f4a1,Sugar beet
62368871d,Common wheat
628294daf,Common wheat
629176d9d,Common wheat
62d1b63f3,Scentless Mayweed
635dc514d,Small-flowered Cranesbill
63b3aba11,Scentless Mayweed
63bbcaafe,Scentless Mayweed
643b99d1d,Small-flowered Cranesbill
64a6f6f65,Maize
64f46676b,Fat Hen
6504263bb,Common Chickweed
650dd0e5a,Loose Silky-bent
654021d0e,Common Chickweed
655b9fa57,Small-flowered Cranesbill
65ab41503,Shepherds Purse
65b4ebc41,Common wheat
65c207aa6,Loose Silky-bent
661a6866f,Loose Silky-bent
665b921f2,Maize
66f70d982,Scentless Mayweed
67054ec9d,Sugar beet
6724b064e,Fat Hen
672982f1f,Common Chickweed
67cd81694,Scentless Mayweed
68f032e5b,Scentless Mayweed
698ce4468,Loose Silky-bent
69a3ef92d,Loose Silky-bent
69af17ea5,Scentless Mayweed
69da83055,Fat Hen
69ed658dd,Scentless Mayweed
6ce2cfd88,Shepherds Purse
6cfecf7c5,Fat Hen
704b0fe2c,Fat Hen
70aedd14d,Shepherds Purse
70ea37ffc,Loose Silky-bent
7162a91f1,Sugar beet
72a81627f,Loose Silky-bent
72b292a3b,Shepherds Purse
730b45269,Black-grass
73a9fb9aa,Loose Silky-bent
7405aee1b,Small-flowered Cranesbill
741dc05da,Small-flowered Cranesbill
748fd9df6,Sugar beet
749646c56,Small-flowered Cranesbill
749f91a6f,Small-flowered Cranesbill
74fd5da5b,Shepherds Purse
754cc58bf,Sugar beet
759d40ddf,Loose Silky-bent
75d522cd3,Common Chickweed
762fc13b0,Small-flowered Cranesbill
7736aedff,Shepherds Purse
77990844c,Common Chickweed
77b27933d,Loose Silky-bent
77dc3df93,Loose Silky-bent
77ea88509,Loose Silky-bent
7801b889c,Sugar beet
780b7ab63,Loose Silky-bent
782fcd40d,Small-flowered Cranesbill
78cbf0faf,Scentless Mayweed
78d0fe480,Scentless Mayweed
794b914bf,Cleavers
796b61337,Cleavers
798852825,Maize
79cc28175,Loose Silky-bent
79eb0958f,Scentless Mayweed
7abe4427d,Fat Hen
7d5f8aab4,Common Chickweed
7f3369186,Cleavers
801c3e668,Small-flowered Cranesbill
8023cf2e2,Small-flowered Cranesbill
8032a7f05,Small-flowered Cranesbill
8035a175e,Charlock
8129d97cd,Sugar beet
817abcd36,Sugar beet
819c6ac1d,Sugar beet
81db6f8a2,Fat Hen
823b197a3,Sugar beet
82561432a,Common Chickweed
82a15579e,Scentless Mayweed
82e4a193e,Loose Silky-bent
8384040ba,Common Chickweed
8439a7dad,Small-flowered Cranesbill
8479c6a25,Shepherds Purse
84ba8107f,Maize
84d2e187d,Scentless Mayweed
850a09a6b,Loose Silky-bent
853b1a32e,Cleavers
854146480,Common Chickweed
85c77d977,Shepherds Purse
8668f7d12,Maize
8674eacd1,Small-flowered Cranesbill
86dfb25ea,Black-grass
86f407dd7,Loose Silky-bent
870cbbd42,Loose Silky-bent
872174e0f,Common wheat
8723bd1e8,Small-flowered Cranesbill
875ef92d7,Loose Silky-bent
8761bb6e1,Sugar beet
87ab65336,Loose Silky-bent
87cafd4dc,Small-flowered Cranesbill
87d1a75df,Shepherds Purse
87e65b6d9,Small-flowered Cranesbill
88314d63e,Common Chickweed
88823573a,Common Chickweed
88a48f427,Loose Silky-bent
88e24e307,Small-flowered Cranesbill
88e4077c5,Fat Hen
88ea1ed2a,Fat Hen
891c720f8,Loose Silky-bent
892382b05,Common Chickweed
897db9248,Loose Silky-bent
898ecfa78,Black-grass
898f2827c,Common wheat
899877fe1,Cleavers
899e696a1,Sugar beet
89d260299,Small-flowered Cranesbill
8a8b1f0fd,Black-grass
8df9991b8,Cleavers
904f0f781,Sugar beet
905ce5eb9,Sugar beet
907817b91,Sugar beet
909da3410,Small-flowered Cranesbill
90e1ab9bd,Small-flowered Cranesbill
914aa19ae,Small-flowered Cranesbill
91a5d8724,Fat Hen
91bc7d91c,Fat Hen
91c33cc1c,Fat Hen
9214c2997,Cleavers
922f5f1d1,Small-flowered Cranesbill
92e4b5803,Shepherds Purse
931fb856a,Small-flowered Cranesbill
939d7da03,Small-flowered Cranesbill
93d6a65a2,Shepherds Purse
93d9858f0,Loose Silky-bent
93f8327c5,Loose Silky-bent
943edde10,Loose Silky-bent
94613db53,Common Chickweed
946b48f62,Fat Hen
94adb2c3b,Shepherds Purse
94ba133c0,Scentless Mayweed
952f0a5fa,Fat Hen
957b8523c,Loose Silky-bent
95b1c779f,Black-grass
96c6d3af6,Common Chickweed
96def553d,Loose Silky-bent
978ca7607,Black-grass
978de5160,Sugar beet
979a39f22,Maize
97da6a579,Small-flowered Cranesbill
97e8ebbbe,Loose Silky-bent
97ea07cab,Common Chickweed
982130e94,Maize
985e72cfb,Shepherds Purse
98756045d,Common wheat
988113525,Maize
98ad03ef1,Cleavers
990636602,Common wheat
9977e50bc,Maize
997fc29b0,Fat Hen
997ffd9ae,Fat Hen
999f75899,Scentless Mayweed
99ec6cf98,Shepherds Purse
99f32c27f,Scentless Mayweed
9ac112817,Shepherds Purse
9c6d64872,Scentless Mayweed
9d25b73be,Maize
9d63dc050,Scentless Mayweed
9dc4c048e,Scentless Mayweed
9e0ef139f,Sugar beet
9e966d9db,Cleavers
a03bc7b24,Loose Silky-bent
a0405de4d,Black-grass
a04f38d7e,Common Chickweed
a04fbc0cd,Common wheat
a0c39c1dd,Fat Hen
a1c72af26,Common wheat
a1d7080b1,Small-flowered Cranesbill
a1f2c5550,Sugar beet
a25f5ccb5,Common wheat
a300eb8b2,Common wheat
a38aa2204,Common Chickweed
a3e3b178c,Common Chickweed
a40bd448a,Common wheat
a413c7490,Common wheat
a42ddba4f,Common Chickweed
a47105ef4,Common Chickweed
a53088ca0,Black-grass
a5b9d84a3,Common Chickweed
a5f23b59f,Loose Silky-bent
a6c251d63,Common Chickweed
a8045aea3,Common Chickweed
a8409b0a0,Common wheat
a85a62939,Common Chickweed
a87fd277c,Black-grass
a88bd5aef,Common Chickweed
a8968f15a,Common Chickweed
a96438dae,Common Chickweed
a98a9b092,Common Chickweed
aa28f442c,Common Chickweed
ab6338bd1,Common Chickweed
ab9a60c53,Common Chickweed
aba570b21,Common Chickweed
abe0f4751,Black-grass
ac0b860c4,Common Chickweed
ac85f848f,Common Chickweed
ae7415e25,Common Chickweed
af005febb,Common Chickweed
af98e2c11,Common Chickweed
afeabc763,Common Chickweed
b024eeb75,Black-grass
b0b543038,Common Chickweed
b176751f4,Common Chickweed
b25c85290,Common Chickweed
b26a7a6ed,Black-grass
b35eaa0a1,Common Chickweed
b40d58c8e,Common Chickweed
b61695466,Common Chickweed
b962fdcfc,Common Chickweed
b9c8f7046,Common Chickweed
b9dfffe2a,Black-grass
b9e36fa79,Black-grass
b9f4cec11,Common Chickweed
bab8eb04a,Loose Silky-bent
bac2710a2,Black-grass
bb52da32b,Common Chickweed
bb7ac7386,Common Chickweed
bc68a27f9,Black-grass
bcf088ff7,Common Chickweed
bd4304980,Common Chickweed
bd4565df5,Common Chickweed
bddde0312,Common Chickweed
be325b3b9,Common Chickweed
befaed3e4,Black-grass
bf5662989,Black-grass
d04eff450,Charlock
d0641b545,Charlock
d2f07f3af,Charlock
d31803377,Charlock
d3228543a,Charlock
d37702684,Charlock
d633facf4,Fat Hen
d733b32d8,Charlock
d8da05d11,Charlock
d9d4e0305,Charlock
d9de67550,Charlock
da2aa8585,Charlock
db96c0bab,Small-flowered Cranesbill
dc20df305,Charlock
ddcc7d9bf,Charlock
ddf0958d2,Charlock
de0e95661,Charlock
de1dc1b00,Sugar beet
de2cf9517,Charlock
df7d711a9,Charlock
e23998a9b,Charlock
e260cb2db,Charlock
e262e89e9,Charlock
e28fd1de4,Charlock
e71a5f489,Charlock
e80aaab6b,Charlock
e84b5ba79,Charlock
ea0751e51,Shepherds Purse
ea31723d5,Cleavers
ead0df392,Charlock
eb9d116cf,Charlock
ec48facfa,Charlock
ed260e354,Charlock
eda5cd97f,Charlock
ee111c2ae,Charlock
ee4a02bf9,Charlock
eeee1a97b,Charlock
eeee9e96c,Charlock
